quarter,ffr_obs,baag10_obs,gdpdef_obs,hours_dngs15_obs,wage_rgd_obs,gdp_rgd_obs,hours_sw07_obs,ifi_rgd_obs,c_rgd_obs
1984Q4,2.315624999999999,0.46150273224043703,0.6945437004593411,-46.32901859253334,0.29486366406048675,0.7515047413672785,30.35593441537827,1.3090076398394987,1.3100726648380157
1985Q1,2.118777777777778,0.45170833333333293,1.0602508959264643,-46.20317518949663,-0.08053697142812447,0.831197707890337,28.77565461588722,0.25349068909695455,1.4330364937799493
1985Q2,1.9810989010989009,0.5491269841269846,0.6552924472785392,-46.46794215043609,0.4527521303786584,0.7802932499655038,25.948611222061686,0.4311379919120683,1.1961477239081015
1985Q3,1.9752445652173913,0.5336111111111115,0.5292812790259432,-46.36052709329963,0.8387291113820747,1.4835302345977708,21.63252351321387,-0.6978206447640405,1.964772734834485
1985Q4,2.026114130434783,0.5526344086021506,0.701378650800716,-45.877809469608586,0.9159072737594085,0.8197475992982421,17.595978789751143,1.7699396782146062,0.5909355388296585
1986Q1,1.956722222222221,0.6149713114754092,0.3890272529928908,-45.61917596475499,0.9390135137965314,0.9070007055554232,9.333587951541404,0.21256056078182745,1.0202166014761502
1986Q2,1.7296153846153863,0.6681640624999996,0.4675090328993975,-45.94026168806973,0.4517357855170038,0.4155956314773733,2.2287354393611167,0.19820907001852087,0.6553270717651473
1986Q3,1.5523641304347822,0.7192578125000004,0.6243793117364942,-45.6239155235047,0.28649230808754916,0.9237706539895741,1.3670035980624107,-0.3404226609286983,1.8497194705466304
1986Q4,1.5666847826086956,0.707859122983872,0.7125920889967664,-45.634957990679744,0.9573246867664578,0.5307636290643926,0.5086160005133138,0.5219914932331495,0.6922920853173447
1987Q1,1.5556388888888892,0.6166314119513487,0.890174748427211,-44.957018640144284,-0.635721684927732,0.7310510910447735,-3.8806535755725236,-2.9382118400516655,0.4941386607925461
1987Q2,1.6624999999999996,0.5042460317460318,0.701301575591844,-44.48865135928218,0.3100850481010285,1.0570380873720753,3.09210689142418,1.3600715165858033,1.600920594161518
1987Q3,1.7098913043478259,0.5077343750000005,0.7221179025804431,-44.030691022211016,0.15453141863781636,0.8340687255529061,8.18196024809896,1.179933891569046,1.3334969491020594
1987Q4,1.7299184782608699,0.5633278729838715,0.8061979810109721,-43.78958808608546,0.6789778325916129,1.719759270421075,12.506283635994862,-0.2581799080297491,0.3747293972867039
1988Q1,1.6664835164835174,0.5835675883256504,0.673232139492117,-43.852066558065374,0.061165286083738585,0.6634557480886494,6.746216398978049,0.9018068752673495,1.713056587583995
1988Q2,1.7887362637362625,0.5175000000000014,1.0076921143862005,-43.81051972180227,0.5652380764681929,1.1706415317496075,8.93350910469178,1.371865800390151,0.8091671480838
1988Q3,1.995869565217391,0.49378906249999943,1.1712070086734425,-43.52433317385061,-0.09656980112504204,0.5105217613422749,9.802833451066476,-0.1755547263931864,0.8398451349840864
1988Q4,2.117119565217391,0.3882377049180321,0.7773498333380227,-43.03294805812113,-0.06728767838041383,1.2905413594497022,4.532666032905297,1.111813318147542,1.3589259816531571
1989Q1,2.3616111111111104,0.3583804865150717,1.0271550321829699,-42.64623831622479,-0.9092999802385253,1.208408893270304,5.810492541557323,0.19274052333454672,0.4550193981556611
1989Q2,2.431428571428573,0.4010937499999998,0.9926240562758334,-42.74143671757792,-0.6398900044790241,0.5425519283029521,3.117791738020685,-0.22725318301105155,0.7322786178853364
1989Q3,2.270896739130434,0.44480158730158825,0.720118330352635,-42.81939346613131,0.09812118514135591,0.47308655331023963,-1.5813476518129619,1.518165711347191,0.7818034733682262
1989Q4,2.153614130434783,0.4765988223246289,0.7387141897300964,-42.89979464000221,0.7633360027423075,0.34581470724830204,-2.324234454981365,-1.7103343590476487,0.5805721813346457
1990Q1,2.0619999999999994,0.4179211469534052,1.1214188229029107,-42.375137389025426,0.2453450499634662,1.2404839288908944,0.5094758435231483,0.927785494710185,1.024049007272622
1990Q2,2.0598351648351647,0.40968253968254054,1.1438033196926376,-42.78185328979351,0.7610161773768187,0.22903043919863894,2.63908585359502,-3.2871585210406935,0.2167019025857855
1990Q3,2.0400543478260857,0.42654761904761784,0.9586029402908339,-43.54121787527573,0.4739284442903958,-0.182884722116399,3.5522362640774645,-1.158968379472779,0.744175518640439
1990Q4,1.9358423913043472,0.5499143145161289,0.869769731239109,-44.30222372720048,0.11009657363109625,-0.824894841557354,5.4383996185147225,-3.6693304801818205,-0.3065620884274358
1991Q1,1.6076111111111104,0.5476099726775963,1.1555583438914279,-45.297265628250976,-0.2925540664699352,-0.49339731250170205,1.6720282988062536,-3.91096021352249,-0.8700172893262821
1991Q2,1.4660164835164828,0.44898437500000066,0.7071133341337452,-45.64130575915615,0.8912158433473732,0.5579003786336859,-1.2305854237311564,-1.144586689799079,0.6655528275786259
1991Q3,1.4113043478260863,0.4350390625000009,0.6466020298630455,-45.749420294363716,0.30027511302216164,0.24563044985828972,-3.588997391613418,-0.37139545136142804,0.35129066882170995
1991Q4,1.2046195652173912,0.5142968749999994,0.5319750991793072,-45.91290674638478,0.7167403980770832,0.5370822559961117,-6.605814959130669,-0.45705002074914025,0.09880549263521338
