quarter,PCEC96_20100528,ffr_obs,gdp_rgd_obs
2002Q1,7957.333333333333,0.43322222222222256,0.8557231323201197
2002Q2,7997.733333333334,0.4378846153846155,0.5291822208839501
2002Q3,8051.966666666667,0.43521739130434783,0.4979435579972429
2002Q4,8080.566666666667,0.36105978260869565,0.02069393675040953
2003Q1,8122.3,0.3124166666666667,0.4043955503772078
2003Q2,8197.800000000001,0.311675824175824,0.7945475741232888
2003Q3,8312.133333333333,0.25421195652173906,1.6626076773242398
2003Q4,8358.033333333333,0.2491847826086955,0.8949818479195306
2004Q1,8437.633333333333,0.2504670329670329,0.7016875843012775
2004Q2,8483.233333333334,0.2528296703296703,0.7082613189067997
2004Q3,8555.833333333334,0.3576902173913044,0.7317314731579575
2004Q4,8654.266666666668,0.48747282608695663,0.8642998231093293
2005Q1,8718.966666666667,0.6172500000000001,0.9926157092172936
