{1990.5, 0.43812909240781633}
{1990.75, 0.42452691633733564}
{1991., 0.4061872955057478}
{1991.25, 0.3990706342986835}
{1991.5, 0.3904467495019045}
{1991.75, 0.3668033141467838}
{1992., 0.3493440477219254}
{1992.25, 0.3400022868950517}
{1992.5, 0.3627912618659168}
{1992.75, 0.34629483933478244}
{1993., 0.3730573362321593}
{1993.25, 0.3671775540312451}
{1993.5, 0.3718300002626491}
{1993.75, 0.37630085529210994}
{1994., 0.3924183518406175}
{1994.25, 0.4280451635205944}
{1994.5, 0.41158786121039415}
{1994.75, 0.4320034637530047}
{1995., 0.43151056771297214}
{1995.25, 0.4388393206672559}
{1995.5, 0.43944170853385167}
{1995.75, 0.43883933343964704}
{1996., 0.428312688206874}
{1996.25, 0.44522871378856166}
{1996.5, 0.46143210039798177}
